191-31B-1006,Approved,Perform as a Member of Convoy Security Escort Team 
191-31B-3507,Approved,Manage a Hasty Route Reconnaissance Mission 
191-31B-3508,Approved,Develop a Convoy Security Operation 
191-31B-3510,Approved,Perform a Zone Reconnaissance with a Military Police (MP) Squad
19-PLT-1102,Approved,Perform Route Reconnaissance and Surveillance 
19-PLT-1203,Approved,Perform Temporary Route Signing 
19-PLT-1212,Approved,Perform Route Regulation Enforcement 
19-PLT-2004,Approved,Perform Convoy Security
07-SQD-D9505,Approved,Break Contact - Squad 
19-SQD-D0412,Approved,Establish Security at the Halt
